Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2016,40,Khatib,14,12.5,11,69.6,0.0,10.314285714285713,28.8,46.4,56.4,27.37142857142857,33.4,23.2,3.4857142857142853,28.4
2016,41,Khatib,13,9.5,6,8.4,0.0,2.171428571428572,6.8,7.6,7.8,28.899999999999995,34.6,24.3,4.757142857142857,37.1
2016,42,Khatib,15,10.0,5,19.6,0.0,2.9428571428571435,13.8,18.6,19.4,28.357142857142854,33.9,22.8,4.014285714285714,39.2
2016,43,Khatib,15,10.0,5,31.8,1.0,10.857142857142856,20.6,24.0,26.0,26.714285714285715,33.3,22.9,3.5,33.1
2016,44,Khatib,5,4.0,3,26.2,0.0,7.799999999999999,14.6,17.2,21.0,27.57142857142857,33.0,22.2,3.6,34.6
2016,45,Khatib,3,2.0,1,18.6,0.0,5.885714285714287,17.8,18.2,18.4,27.2,34.1,24.0,3.2857142857142856,32.0
2016,46,Khatib,1,0.5,0,29.8,0.2,9.742857142857146,16.4,18.8,23.0,26.771428571428576,33.6,23.2,3.3428571428571425,28.4
2016,47,Khatib,2,1.0,0,17.8,0.0,5.342857142857143,14.4,14.6,17.4,27.342857142857145,33.6,24.2,3.8571428571428568,24.1
2016,48,Khatib,9,5.5,2,11.2,0.0,1.8857142857142857,3.6,4.4,5.2,27.0,34.1,23.9,4.457142857142856,29.9
2016,49,Khatib,8,7.0,6,11.8,0.2,4.771428571428571,10.0,11.0,11.8,27.83333333333333,34.7,23.3,4.371428571428572,33.5
2016,50,Khatib,8,7.0,6,13.2,0.0,3.2857142857142856,8.0,11.4,12.4,27.72,34.1,22.8,4.385714285714286,34.6
2016,51,Khatib,11,8.5,6,32.6,0.4,16.45714285714286,20.2,27.2,30.4,27.414285714285718,34.0,23.3,5.042857142857144,40.3
2016,52,Khatib,10,5.5,1,4.6,0.0,1.3666666666666665,2.2,2.4,2.6,26.71666666666667,33.1,23.6,5.3500000000000005,31.3
2017,1,Khatib,3,2.5,2,26.8,0.0,4.542857142857144,16.6,21.0,25.8,27.1,34.4,23.5,4.385714285714285,28.4
2017,2,Khatib,3,1.5,0,23.4,0.0,5.799999999999999,22.4,23.2,23.4,27.96,35.1,22.3,4.414285714285715,38.2
2017,3,Khatib,0,0.0,0,53.5,0.0,19.0,32.5,46.0,52.5,26.97142857142857,33.5,22.8,4.485714285714286,36.0
2017,4,Khatib,4,3.0,2,50.0,0.0,11.971428571428573,7.5,10.5,15.0,26.1,32.1,22.8,5.242857142857141,33.8
2017,5,Khatib,2,2.0,2,25.6,0.0,11.2,21.4,22.0,25.0,27.042857142857148,33.3,23.7,4.414285714285714,29.5
2017,6,Khatib,3,2.0,1,13.6,2.5,8.05,5.6,6.2,7.0,27.4,33.9,23.6,5.85,36.0
2017,7,Khatib,3,2.5,2,,,,,,,27.025,32.9,23.1,6.725,32.4
2017,8,Khatib,2,1.5,1,47.8,0.0,10.771428571428574,24.8,43.0,47.8,27.057142857142853,32.7,23.1,4.685714285714286,33.8
2017,9,Khatib,1,0.5,0,23.6,0.2,7.7714285714285705,8.4,11.8,13.6,26.685714285714287,31.9,23.7,5.342857142857143,35.3
2017,10,Khatib,2,1.0,0,10.6,0.0,2.4285714285714284,9.2,9.2,10.6,27.3,33.4,23.9,5.4,28.4
2017,11,Khatib,2,1.0,0,15.8,0.0,3.0,14.0,15.8,15.8,28.0,34.9,24.0,4.642857142857143,30.2
2017,12,Khatib,0,0.0,0,54.8,0.0,10.542857142857144,42.4,49.8,54.8,27.885714285714283,35.2,23.8,4.471428571428572,38.5
2017,13,Khatib,,,,8.4,0.0,2.771428571428572,8.4,8.4,8.4,26.942857142857147,33.0,24.0,3.6571428571428566,25.9
2017,14,Khatib,4,3.5,3,9.0,0.0,3.542857142857143,8.6,9.0,9.0,27.75714285714286,34.7,23.4,3.6571428571428575,34.6
2017,15,Khatib,2,1.0,0,47.8,0.0,9.514285714285714,34.0,45.6,47.6,28.0,34.1,24.5,4.114285714285714,25.6
2017,16,Khatib,3,2.5,2,32.6,0.0,8.371428571428572,13.4,21.8,31.0,27.383333333333336,34.1,23.3,3.4857142857142853,36.4
2017,17,Khatib,5,3.5,2,11.6,0.0,4.0,10.4,11.0,11.2,27.385714285714286,34.1,23.8,3.4857142857142858,25.6
2017,18,Khatib,3,3.0,3,15.4,0.0,4.171428571428572,12.8,15.4,15.4,28.0,33.1,25.1,3.3285714285714287,33.1
2017,19,Khatib,2,1.5,1,10.5,0.0,1.8714285714285717,10.5,10.5,10.5,28.257142857142853,33.5,24.6,3.814285714285714,24.5
2017,20,Khatib,1,0.5,0,30.2,0.0,6.566666666666666,15.6,17.0,17.0,28.325,33.6,25.3,4.966666666666667,30.6
2017,21,Khatib,4,3.5,3,35.2,0.0,8.700000000000001,20.0,27.0,30.0,27.883333333333336,33.3,23.6,4.266666666666667,40.7
2017,22,Khatib,11,8.5,6,20.8,0.0,5.8,12.0,13.6,19.4,28.52857142857143,34.5,23.0,4.314285714285714,42.8
2017,23,Khatib,5,3.5,2,5.5,0.0,1.0714285714285714,3.5,4.0,4.5,29.071428571428577,34.4,24.4,4.557142857142859,27.4
2017,24,Khatib,3,2.5,2,47.8,0.0,9.885714285714283,15.2,17.4,26.0,28.157142857142855,34.5,23.6,4.1571428571428575,34.2
