Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI East,Avg PSI East
2015,37,Changi,32.0,32.0,32.0,17.4,0.0,2.4857142857142853,13.2,16.8,17.4,28.442857142857147,32.7,23.6,10.357142857142858,43.2,,
2015,38,Changi,18.0,18.0,18.0,18.4,0.0,4.971428571428572,11.6,15.2,16.4,28.414285714285718,32.8,23.1,10.928571428571427,39.6,,
2015,39,Changi,,,,4.6,0.0,0.6857142857142857,4.6,4.6,4.6,28.914285714285718,32.5,26.0,8.757142857142856,36.7,,
2015,40,Changi,52.0,39.0,26.0,28.6,0.0,4.685714285714285,19.2,19.6,19.6,28.32857142857143,32.3,23.5,8.671428571428573,43.9,,
2015,41,Changi,52.0,52.0,52.0,19.8,0.0,2.9428571428571435,17.4,17.4,17.4,28.485714285714288,33.0,23.4,8.1,55.1,,
2015,42,Changi,52.0,52.0,52.0,7.8,0.0,1.1142857142857143,5.4,7.8,7.8,29.114285714285717,33.4,23.9,9.985714285714286,34.9,,
2015,43,Changi,,,,0.6,0.0,0.08571428571428573,0.6,0.6,0.8,29.17142857142857,33.5,26.3,11.285714285714285,40.3,,
2015,44,Changi,35.0,35.0,35.0,24.0,0.0,4.257142857142857,3.6,4.6,4.6,27.91428571428571,33.6,21.9,7.1571428571428575,59.4,,
2015,45,Changi,28.0,28.0,28.0,1.4,0.0,0.2285714285714285,1.4,1.4,1.4,28.12857142857143,32.9,25.2,5.9142857142857155,37.8,,
2015,46,Changi,45.0,45.0,45.0,1.4,0.0,0.2,1.4,1.4,1.4,28.157142857142862,33.4,25.5,6.6571428571428575,31.0,,
