Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI West,Avg PSI West
2016,34,Tuas South,9.0,6.5,4.0,48.4,0.0,6.914285714285714,22.4,35.0,46.2,29.514285714285712,32.6,25.2,8.685714285714285,38.9,143.0,66.94267515923566
2016,35,Tuas South,13.0,10.0,7.0,23.4,0.0,5.4,7.6,13.4,14.0,28.52857142857143,33.1,25.1,5.2,36.7,85.0,59.1
2016,36,Tuas South,13.0,10.5,8.0,19.4,0.0,4.714285714285714,18.8,19.2,19.4,28.485714285714288,32.5,24.0,8.028571428571428,55.1,69.0,53.85161290322581
2016,37,Tuas South,7.0,5.5,4.0,20.4,0.0,7.228571428571428,15.8,19.6,20.2,28.52857142857143,32.8,24.0,7.2857142857142865,64.1,58.0,46.32911392405064
2016,38,Tuas South,3.0,3.0,3.0,12.8,0.0,1.9142857142857144,7.6,8.2,8.2,29.08571428571429,32.2,24.8,9.414285714285716,55.4,59.0,45.47222222222222
2016,39,Tuas South,6.0,4.5,3.0,5.4,0.0,1.0857142857142859,4.4,5.4,5.4,29.228571428571428,33.1,25.3,7.414285714285714,40.7,68.0,56.092198581560275
2016,40,Tuas South,5.0,3.5,2.0,33.2,0.0,8.942857142857143,23.8,31.2,31.8,28.4,31.7,23.8,7.257142857142857,46.1,73.0,58.25185185185185
2016,41,Tuas South,3.0,2.5,2.0,37.6,0.0,6.485714285714287,18.0,20.4,20.4,29.67142857142857,32.8,23.9,12.4,60.8,60.0,43.962732919254655
2016,42,Tuas South,3.0,1.5,0.0,27.4,0.0,5.2,20.2,25.0,25.8,28.928571428571434,32.8,23.7,7.057142857142857,72.7,59.0,43.84076433121018
2016,43,Tuas South,0.0,0.0,0.0,30.0,0.2,7.371428571428572,24.0,26.4,27.4,27.557142857142853,30.8,23.0,6.9,39.6,64.0,52.3375
2016,44,Tuas South,0.0,0.0,0.0,30.8,3.4,8.742857142857144,18.8,18.8,19.6,28.0,31.1,23.7,8.028571428571428,50.4,46.0,35.86335403726708
2016,45,Tuas South,0.0,0.0,0.0,3.8,0.0,1.257142857142857,3.8,3.8,3.8,27.857142857142854,31.8,25.1,5.928571428571428,37.8,60.0,46.52201257861636
2016,46,Tuas South,2.0,1.0,0.0,17.4,0.0,6.685714285714285,14.4,17.4,17.4,27.814285714285717,32.3,24.0,5.757142857142857,53.3,68.0,45.855345911949684
2016,47,Tuas South,4.0,2.5,1.0,46.0,0.0,12.514285714285714,29.6,38.4,44.2,27.92857142857143,31.6,24.3,6.571428571428571,45.4,64.0,43.6583850931677
2016,48,Tuas South,4.0,2.5,1.0,45.4,0.0,7.371428571428572,24.0,24.4,35.8,27.614285714285717,32.9,23.9,7.114285714285715,40.0,55.0,27.10897435897436
2016,49,Tuas South,1.0,0.5,0.0,17.2,0.0,2.9142857142857146,14.4,16.0,16.6,28.442857142857147,33.0,24.4,6.2142857142857135,50.8,60.0,45.65734265734265
2016,50,Tuas South,0.0,0.0,0.0,10.2,0.0,1.457142857142857,4.6,6.2,6.4,28.385714285714286,32.4,24.3,7.1571428571428575,55.8,63.0,52.84507042253521
