,Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,avg_daily_rainfall_total,highest_60_min_rainfall,mean_temperature,range_temperature,mean_wind_speed,historical_cases_week
223,2018,19,Changi,13,11.5,10,1.9928571428571429,6.7,28.5,9.824999999999998,8.77142857142857,5.833333333333332
224,2018,20,Changi,7,7.0,7,2.7428571428571433,9.3,28.564285714285717,10.4,8.175,7.166666666666668
225,2018,21,Changi,13,8.5,4,2.2785714285714285,7.4,28.75714285714286,9.825,8.525,9.5
226,2018,22,Changi,15,12.5,10,2.55,8.1,28.825000000000006,9.974999999999998,8.217857142857143,10.0
227,2018,23,Changi,12,8.5,5,3.0785714285714283,9.05,28.800000000000004,9.15,8.235714285714286,9.0
228,2018,24,Changi,12,10.5,9,6.485714285714287,15.65,28.564285714285717,9.0,7.553571428571429,9.333333333333334
229,2018,25,Changi,12,6.5,1,6.585714285714285,16.400000000000002,28.575,9.425,7.135714285714284,9.833333333333334
230,2018,26,Changi,6,3.5,1,6.642857142857142,17.05,28.74642857142857,9.45,7.85,10.5
231,2018,27,Changi,5,3.5,2,6.071428571428571,17.7,28.603571428571428,9.325,8.189285714285715,8.5
232,2018,28,Changi,2,1.0,0,4.05,14.55,28.40357142857143,8.95,8.421428571428573,6.833333333333332
233,2018,29,Changi,0,0.0,0,6.178571428571429,20.7,28.032142857142862,8.8,8.528571428571428,4.5
234,2018,30,Changi,2,1.0,0,7.85,25.05,27.821428571428577,9.025,8.767857142857142,2.6666666666666665
235,2018,31,Changi,3,3.0,3,7.014285714285713,21.95,28.114285714285717,8.974999999999998,9.57857142857143,1.5
236,2018,32,Changi,5,3.5,2,4.878571428571429,16.25,28.603571428571428,8.875,11.04642857142857,0.6666666666666666
237,2018,33,Changi,5,2.5,0,3.971428571428573,15.45,28.49642857142857,8.825,11.057142857142857,1.3333333333333333
238,2018,34,Changi,4,2.0,0,2.1214285714285714,11.0,28.575,9.0,11.071428571428573,2.5
239,2018,35,Changi,3,3.0,3,1.935714285714286,9.6,28.660714285714285,8.925,11.892857142857142,3.0
240,2018,36,Changi,1,0.5,0,4.292857142857144,14.0,28.47142857142857,9.575,11.246428571428574,2.6666666666666665
241,2018,37,Changi,2,1.0,0,3.4142857142857146,9.6,28.557142857142853,10.300000000000002,10.885714285714288,2.5
242,2018,38,Changi,1,0.5,0,6.628571428571429,16.1,28.210714285714282,10.05,9.857142857142858,1.8333333333333333
243,2018,39,Changi,0,0.0,0,6.614285714285715,16.1,27.925,9.825000000000003,8.485714285714286,1.5
244,2018,40,Changi,2,1.0,0,5.378571428571429,16.65,27.753571428571423,9.35,8.12857142857143,0.6666666666666666
245,2018,41,Changi,1,0.5,0,4.885714285714286,14.75,28.003571428571423,8.25,8.989285714285714,0.5
246,2018,42,Changi,2,1.0,0,2.1357142857142857,9.0,28.503571428571423,8.425,10.339285714285714,0.5
247,2018,43,Changi,2,2.0,2,8.350000000000001,20.3,28.12142857142857,9.125,9.310714285714283,0.5
248,2018,44,Changi,6,4.0,2,8.0,16.35,28.239285714285717,9.4,8.899999999999997,0.8333333333333334
249,2018,45,Changi,3,3.0,3,8.342857142857143,17.400000000000002,27.9,9.599999999999998,7.432142857142857,1.1666666666666667
250,2018,46,Changi,10,10.0,10,8.085714285714285,16.2,27.47142857142857,8.999999999999998,6.246428571428572,2.333333333333333
251,2018,47,Changi,23,17.5,12,2.607142857142857,6.85,27.65714285714286,8.774999999999999,6.360714285714287,3.0
252,2018,48,Changi,26,21.0,16,3.3642857142857143,8.649999999999999,27.442857142857147,8.825,6.0214285714285705,5.666666666666668
253,2018,49,Changi,20,17.5,15,4.757142857142857,12.55,27.321428571428577,9.55,5.867857142857143,10.166666666666666
254,2018,50,Changi,16,14.5,13,5.9,14.9,27.314285714285717,9.475,5.878571428571428,16.166666666666668
255,2018,51,Changi,18,13.5,9,5.435714285714287,13.2,27.385714285714286,9.05,6.035714285714287,18.666666666666668
256,2018,52,Changi,39,30.0,17,6.485714285714287,17.35,27.314285714285717,8.575,6.289285714285715,17.666666666666668
257,2019,1,Changi,42,42.0,42,5.457142857142856,15.85,27.417857142857148,8.2,6.742857142857143,15.166666666666664
258,2019,2,Changi,59,51.0,43,5.645535714285715,18.9,27.591517857142854,8.45,6.723214285714287,19.33333333333333
259,2019,3,Changi,78,65.5,53,5.252678571428572,18.1,27.904613095238094,8.674999999999999,7.5684523809523805,28.5
260,2019,4,Changi,74,68.5,63,2.716964285714286,10.650000000000002,28.261755952380952,8.6,9.064880952380953,41.0
261,2019,5,Changi,61,61.0,61,3.952678571428572,10.55,28.197470238095242,8.6,9.554166666666667,52.83333333333334
262,2019,14,Changi,13,13.0,13,,,,,,
263,2019,15,Changi,7,7.0,7,,,,,,
264,2019,16,Changi,11,11.0,11,,,,,,
265,2019,17,Changi,9,9.0,9,,,,,,
266,2019,18,Changi,29,17.5,6,,,,,,
267,2019,19,Changi,16,16.0,16,6.242857142857143,26.05,28.632142857142853,10.2,7.617857142857144,9.0
268,2019,20,Changi,79,79.0,79,4.464285714285714,21.35,28.875,9.624999999999998,7.328571428571429,12.5
269,2019,21,Changi,76,76.0,76,4.2785714285714285,16.45,29.082142857142852,10.125,6.932142857142857,14.166666666666664
270,2019,22,Changi,68,68.0,68,4.171428571428572,11.95,29.0,10.325,6.489285714285713,37.5
271,2019,23,Changi,85,71.5,58,2.271428571428572,5.45,29.210714285714282,9.55,7.121428571428572,57.0
