Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI Central,Avg PSI Central
2016,6,Ang Mo Kio,152.0,147.0,142.0,22.8,0.0,5.6571428571428575,15.6,22.2,22.6,27.07142857142857,32.4,21.5,7.014285714285713,44.3,59.0,45.11851851851853
2016,7,Ang Mo Kio,174.0,151.5,129.0,85.4,0.0,12.285714285714285,21.8,31.2,41.8,27.114285714285717,32.8,23.3,7.357142857142858,41.4,58.0,48.608974358974365
2016,8,Ang Mo Kio,185.0,179.5,174.0,8.8,0.0,1.2571428571428571,3.0,3.0,3.8,27.47142857142857,32.1,23.4,8.685714285714285,51.8,53.0,48.448818897637786
2016,9,Ang Mo Kio,161.0,155.0,149.0,3.4,0.0,0.5428571428571428,3.4,3.4,3.4,28.1,32.8,25.5,9.3,43.9,54.0,48.884615384615394
2016,10,Ang Mo Kio,130.0,117.0,104.0,11.6,0.0,2.771428571428572,7.0,8.8,9.0,28.32857142857143,34.0,24.3,6.585714285714286,36.7,55.0,50.55303030303031
2016,11,Ang Mo Kio,121.0,107.5,94.0,5.0,0.0,0.7714285714285715,4.4,5.0,5.0,28.57142857142857,34.5,25.3,6.485714285714287,31.3,63.0,56.7875
2016,12,Ang Mo Kio,121.0,119.0,117.0,10.8,0.0,1.542857142857143,7.6,10.8,10.8,28.771428571428572,34.7,25.7,6.471428571428571,40.0,64.0,60.72435897435897
2016,13,Ang Mo Kio,113.0,110.5,108.0,35.8,0.0,5.114285714285714,24.8,30.6,35.8,28.95714285714286,34.6,24.7,7.871428571428572,37.1,83.0,68.14193548387097
2016,14,Ang Mo Kio,112.0,105.0,98.0,25.2,0.0,5.0285714285714285,18.6,19.0,23.2,28.942857142857147,35.8,25.4,5.857142857142856,31.3,56.0,53.93103448275862
2016,15,Ang Mo Kio,68.0,67.0,66.0,29.2,0.0,10.457142857142856,23.6,25.6,29.2,29.614285714285717,35.1,24.3,5.285714285714286,35.3,73.0,60.09230769230769
2016,16,Ang Mo Kio,58.0,57.5,57.0,32.2,0.0,7.371428571428572,23.6,31.8,32.2,29.485714285714284,35.4,24.9,5.757142857142857,36.0,67.0,58.42748091603053
2016,17,Ang Mo Kio,64.0,59.5,55.0,36.8,0.0,12.114285714285714,26.6,29.6,29.6,28.557142857142853,34.6,24.0,3.971428571428572,67.0,78.0,62.5359477124183
2016,18,Ang Mo Kio,52.0,49.5,47.0,15.4,0.0,4.742857142857143,15.4,15.4,15.4,29.58571428571429,35.6,25.6,4.885714285714286,36.4,61.0,52.240506329113934
2016,19,Ang Mo Kio,35.0,31.0,27.0,59.0,0.0,12.942857142857141,24.8,48.0,56.4,28.814285714285717,35.3,24.6,4.485714285714286,33.1,63.0,51.17391304347826
2016,20,Ang Mo Kio,52.0,47.0,42.0,26.6,0.0,8.542857142857143,15.0,20.6,23.6,28.6,34.2,24.5,5.142857142857143,64.4,72.0,53.38125
2016,21,Ang Mo Kio,33.0,32.5,32.0,38.4,0.0,5.971428571428571,20.2,29.8,38.0,29.7,34.6,24.1,5.5,33.5,54.0,40.1297709923664
2016,22,Ang Mo Kio,32.0,29.5,27.0,17.8,0.0,2.8285714285714287,16.4,16.4,16.4,27.95714285714286,34.6,24.6,4.171428571428572,45.0,63.0,59.13541666666666
2016,23,Ang Mo Kio,35.0,29.0,23.0,39.8,0.0,6.685714285714287,17.6,29.8,39.4,28.62857142857143,33.6,22.2,4.285714285714286,43.6,67.0,53.73717948717949
2016,24,Ang Mo Kio,32.0,29.5,27.0,33.8,0.0,9.342857142857145,23.2,32.6,33.8,27.742857142857147,32.5,23.9,4.514285714285714,33.5,58.0,44.14012738853504
2016,25,Ang Mo Kio,22.0,19.5,17.0,46.4,0.0,7.228571428571429,25.2,31.4,39.0,28.414285714285718,32.9,22.4,5.1000000000000005,53.3,57.0,47.68627450980392
2016,26,Ang Mo Kio,35.0,34.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,34.6,26.9,6.828571428571428,27.4,57.0,50.47019867549668
2016,27,Ang Mo Kio,41.0,36.5,32.0,3.6,0.0,0.5714285714285714,2.6,3.2,3.6,29.771428571428572,34.4,24.4,6.7714285714285705,39.6,54.0,44.301886792452834
2016,28,Ang Mo Kio,47.0,47.0,47.0,22.4,0.0,8.857142857142858,16.8,20.6,22.4,27.942857142857147,34.5,23.7,4.685714285714286,42.5,56.0,46.77037037037037
2016,29,Ang Mo Kio,34.0,29.5,25.0,36.4,1.2,10.771428571428574,29.8,35.0,36.2,27.014285714285712,32.0,22.8,4.814285714285715,40.7,60.0,48.21794871794872
2016,30,Ang Mo Kio,48.0,40.0,32.0,28.2,0.0,5.4,24.4,26.4,26.4,27.771428571428572,32.7,21.2,4.6571428571428575,65.5,58.0,51.00714285714286
2016,31,Ang Mo Kio,41.0,37.0,33.0,23.6,0.0,3.8,20.6,23.6,23.6,28.685714285714283,33.2,22.7,6.314285714285715,56.2,60.0,53.89743589743589
2016,32,Ang Mo Kio,38.0,38.0,38.0,29.2,0.0,4.342857142857143,21.8,29.2,29.2,29.485714285714288,33.2,25.2,5.871428571428572,68.4,65.0,57.43137254901961
2016,33,Ang Mo Kio,35.0,32.0,29.0,22.4,0.0,6.057142857142857,15.2,21.2,21.4,29.214285714285715,34.1,22.3,6.885714285714287,41.8,58.0,41.8397435897436
2016,34,Ang Mo Kio,49.0,43.0,37.0,20.8,0.0,2.9714285714285715,8.0,13.2,18.6,29.257142857142853,33.3,23.9,6.014285714285713,44.3,108.0,61.636942675159226
2016,35,Ang Mo Kio,51.0,44.0,37.0,34.2,0.0,7.3428571428571425,28.2,34.2,34.2,28.37142857142857,33.9,23.5,4.928571428571429,35.3,82.0,57.49375
2016,36,Ang Mo Kio,42.0,41.5,41.0,17.6,0.0,5.6571428571428575,17.2,17.6,17.6,28.214285714285715,33.1,22.8,5.785714285714287,42.5,76.0,55.99354838709678
2016,37,Ang Mo Kio,27.0,26.5,26.0,30.4,0.0,8.114285714285714,19.8,27.2,27.6,28.1,33.8,22.8,5.257142857142859,49.3,60.0,50.46202531645571
2016,38,Ang Mo Kio,25.0,24.0,23.0,3.4,0.0,1.1142857142857143,2.4,2.6,2.6,28.614285714285717,33.9,24.2,5.957142857142856,39.6,62.0,50.819444444444436
