Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2014,7,20,0.0,0.0,0.0,0.0,29.8,32.4,27.6,5.5,23.4
Tuas South,2014,7,21,0.0,0.0,0.0,0.0,29.8,32.5,28.1,7.6,29.5
Tuas South,2014,7,22,0.0,0.0,0.0,0.0,30.0,32.6,28.4,7.3,32.4
Tuas South,2014,7,23,0.0,0.0,0.0,0.0,29.9,31.9,28.2,5.7,27.4
Tuas South,2014,7,24,0.0,0.0,0.0,0.0,29.9,32.7,28.0,5.2,22.7
Tuas South,2014,7,25,0.0,0.0,0.0,0.0,30.2,33.6,27.8,5.7,25.2
Tuas South,2014,7,26,0.0,0.0,0.0,0.0,30.4,33.3,28.3,5.5,26.3
Tuas South,2014,7,27,2.2,1.2,2.2,2.2,28.4,31.2,23.4,5.3,41.8
Tuas South,2014,7,28,0.0,0.0,0.0,0.0,29.2,31.4,28.0,6.1,32.0
Tuas South,2014,7,29,24.8,22.4,22.8,22.8,27.7,30.3,23.0,4.2,24.8
Tuas South,2014,7,30,13.6,12.0,12.4,12.4,28.2,31.5,26.4,5.1,46.1
Tuas South,2014,7,31,3.2,3.0,3.2,3.2,28.0,29.7,25.1,8.5,40.0
Tuas South,2014,8,1,6.2,6.0,6.2,6.2,28.8,31.9,25.2,8.7,34.9
Tuas South,2014,8,2,0.0,0.0,0.0,0.0,29.4,31.6,27.5,7.6,30.2
Tuas South,2014,8,3,12.8,8.0,12.0,12.8,28.5,31.5,24.7,7.7,31.7
Tuas South,2014,8,4,0.0,0.0,0.0,0.0,29.5,31.9,27.7,7.7,24.5
Tuas South,2014,8,5,12.6,8.0,9.4,10.8,27.1,28.9,23.3,10.0,45.4
Tuas South,2014,8,6,2.0,1.2,1.6,2.0,27.8,29.6,25.2,8.1,26.6
Tuas South,2014,8,7,4.4,4.4,4.4,4.4,27.7,29.9,26.5,8.8,26.3
Tuas South,2014,8,8,0.0,0.0,0.0,0.0,28.1,30.1,26.7,7.2,26.3
Tuas South,2014,8,9,0.0,0.0,0.0,0.0,29.2,32.2,27.3,5.5,26.3
Tuas South,2014,8,10,3.0,2.8,3.0,3.0,28.2,31.1,26.2,4.4,19.8
Tuas South,2014,8,11,0.0,0.0,0.0,0.0,28.1,31.3,26.6,6.7,24.5
