Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2015,41,Changi,52,52.0,52
2015,41,Ang Mo Kio,62,62.0,62
2015,41,Khatib,27,27.0,27
2015,41,Tuas South,4,4.0,4
2015,41,Marina Barrage,18,18.0,18
2015,42,Changi,52,52.0,52
2015,42,Ang Mo Kio,40,40.0,40
2015,42,Khatib,21,21.0,21
2015,42,Tuas South,3,3.0,3
2015,42,Marina Barrage,21,21.0,21
2015,44,Changi,35,35.0,35
2015,44,Ang Mo Kio,64,56.0,48
2015,44,Khatib,26,24.0,22
2015,44,Tuas South,13,7.5,2
2015,44,Marina Barrage,21,18.5,16
2015,45,Changi,28,28.0,28
2015,45,Ang Mo Kio,57,57.0,57
2015,45,Khatib,18,18.0,18
2015,45,Tuas South,8,8.0,8
2015,45,Marina Barrage,14,14.0,14
2015,46,Changi,45,45.0,45
2015,46,Ang Mo Kio,58,58.0,58
2015,46,Khatib,24,24.0,24
2015,46,Tuas South,4,4.0,4
2015,46,Marina Barrage,14,14.0,14
2015,47,Changi,36,36.0,36
2015,47,Ang Mo Kio,54,54.0,54
2015,47,Khatib,18,18.0,18
2015,47,Tuas South,0,0.0,0
2015,47,Marina Barrage,18,18.0,18
2015,48,Changi,38,38.0,38
2015,48,Ang Mo Kio,38,38.0,38
2015,48,Khatib,8,8.0,8
2015,48,Tuas South,4,4.0,4
2015,48,Marina Barrage,13,13.0,13
2015,49,Changi,71,63.5,56
2015,49,Ang Mo Kio,69,61.0,53
2015,49,Khatib,16,12.5,9
2015,49,Tuas South,2,1.5,1
2015,49,Marina Barrage,24,23.0,22
2015,51,Changi,56,56.0,56
2015,51,Ang Mo Kio,56,56.0,56
2015,51,Khatib,27,27.0,27
2015,51,Tuas South,4,4.0,4
2015,51,Marina Barrage,21,21.0,21
2015,52,Changi,56,56.0,56
2015,52,Ang Mo Kio,87,87.0,87
2015,52,Khatib,22,22.0,22
2015,52,Tuas South,11,11.0,11
2015,52,Marina Barrage,48,48.0,48
2015,53,Changi,93,71.0,49
2015,53,Ang Mo Kio,119,93.0,67
2015,53,Khatib,59,49.5,40
2015,53,Tuas South,8,5.5,3
2015,53,Marina Barrage,65,53.5,42
2016,1,Changi,86,75.5,65
2016,1,Ang Mo Kio,113,100.0,87
2016,1,Khatib,59,48.5,38
2016,1,Tuas South,13,10.0,7
2016,1,Marina Barrage,77,62.0,47
2016,2,Changi,121,106.0,91
2016,2,Ang Mo Kio,139,124.0,109
2016,2,Khatib,71,62.5,54
2016,2,Tuas South,21,16.5,12
2016,2,Marina Barrage,106,91.0,76
2016,3,Changi,129,120.0,111
2016,3,Ang Mo Kio,178,160.0,142
2016,3,Khatib,98,83.5,69
2016,3,Tuas South,35,28.5,22
2016,3,Marina Barrage,126,111.0,96
2016,4,Changi,116,113.0,110
2016,4,Ang Mo Kio,187,184.0,181
2016,4,Khatib,115,110.5,106
2016,4,Tuas South,34,31.0,28
2016,4,Marina Barrage,138,134.5,131
2016,5,Changi,99,85.0,71
2016,5,Ang Mo Kio,174,173.5,173
2016,5,Khatib,92,91.5,91
2016,5,Tuas South,25,22.5,20
2016,5,Marina Barrage,118,115.0,112
2016,6,Changi,65,59.0,53
2016,6,Ang Mo Kio,152,147.0,142
2016,6,Khatib,55,52.0,49
2016,6,Tuas South,21,20.0,19
2016,6,Marina Barrage,70,62.5,55
2016,7,Changi,68,66.0,64
2016,7,Ang Mo Kio,174,151.5,129
2016,7,Khatib,59,56.5,54
2016,7,Tuas South,24,20.0,16
2016,7,Marina Barrage,73,59.0,45
2016,8,Changi,66,64.5,63
2016,8,Ang Mo Kio,185,179.5,174
2016,8,Khatib,94,85.0,76
2016,8,Tuas South,26,25.5,25
2016,8,Marina Barrage,92,89.5,87
2016,9,Changi,54,52.0,50
2016,9,Ang Mo Kio,161,155.0,149
2016,9,Khatib,74,67.5,61
2016,9,Tuas South,25,21.5,18
2016,9,Marina Barrage,57,56.0,55
2016,10,Changi,51,49.5,48
2016,10,Ang Mo Kio,130,117.0,104
2016,10,Khatib,58,49.0,40
2016,10,Tuas South,20,17.5,15
2016,10,Marina Barrage,54,52.0,50
2016,11,Changi,81,65.0,49
2016,11,Ang Mo Kio,121,107.5,94
2016,11,Khatib,34,33.0,32
2016,11,Tuas South,12,10.5,9
2016,11,Marina Barrage,54,50.0,46
2016,12,Changi,59,58.0,57
2016,12,Ang Mo Kio,121,119.0,117
2016,12,Khatib,34,33.5,33
2016,12,Tuas South,5,4.5,4
2016,12,Marina Barrage,42,39.0,36
2016,13,Changi,62,58.0,54
2016,13,Ang Mo Kio,113,110.5,108
