ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
20A PARK STREET TEMPORARY SITE OFFICE SINGAPORE 018927,20A,TEMPORARY SITE OFFICE,1.27524127939473,103.853658960578,103.853658960578,018927,PARK STREET,TEMPORARY SITE OFFICE,30263.7238617986,28635.2309705298
2 PARK STREET SINGAPORE 018928,2,NIL,1.27768139609174,103.850157273986,103.850157273986,018928,PARK STREET,2 PARK STREET SINGAPORE 018928,29874.0120090684,28905.043651687003
2 PARK STREET SHENTON WAY MRT STATION SINGAPORE 018928,2,SHENTON WAY MRT STATION (TE19),1.2777168283425,103.850367596067,103.850367596067,018928,PARK STREET,SHENTON WAY MRT STATION (TE19),29897.4191489164,28908.961721107404
25 PARK STREET SINGAPORE 018929,25,NIL,1.27519457380349,103.855173769376,103.855173769376,018929,PARK STREET,25 PARK STREET SINGAPORE 018929,30432.3101748275,28630.067888135098
25 PARK STREET MARINA BAY MRT STATION SINGAPORE 018929,25,MARINA BAY MRT STATION (TE20),1.27474173226843,103.85530916792801,103.85530916792801,018929,PARK STREET,MARINA BAY MRT STATION (TE20),30447.3793932004,28579.9951389208
51 MARINA SOUTH DRIVE SINGAPORE 018930,51,NIL,1.27535833153388,103.867027808386,103.867027808386,018930,MARINA SOUTH DRIVE,51 MARINA SOUTH DRIVE SINGAPORE 018930,31751.5710579529,28648.189602399198
5 STRAITS VIEW THE HEART SINGAPORE 018935,5,THE HEART,1.2775262887227101,103.85293534419,103.85293534419,018935,STRAITS VIEW,THE HEART,30183.189141358198,28887.894871493798
7 STRAITS VIEW MARINA ONE EAST TOWER SINGAPORE 018936,7,MARINA ONE EAST TOWER,1.2780324223039,103.852883150355,103.852883150355,018936,STRAITS VIEW,MARINA ONE EAST TOWER,30177.379958583,28943.860464191097
9 STRAITS VIEW MARINA ONE WEST TOWER SINGAPORE 018937,9,MARINA ONE WEST TOWER,1.27733681299187,103.852382415284,103.852382415284,018937,STRAITS VIEW,MARINA ONE WEST TOWER,30121.6527262582,28866.9431612883
11 MARINA BOULEVARD SINGAPORE 018940,11,NIL,1.28071923547797,103.85600467736,103.85600467736,018940,MARINA BOULEVARD,11 MARINA BOULEVARD SINGAPORE 018940,30524.778289991402,29240.9572506938
11 MARINA BOULEVARD MARINA BAY SINGAPORE SINGAPORE 018940,11,MARINA BAY SINGAPORE,1.2801145296328602,103.856286392833,103.856286392833,018940,MARINA BOULEVARD,MARINA BAY SINGAPORE,30556.131532264902,29174.0922781322
