unique location,X,Y
"Lorong 1, 4 Realty Park",,
Jurong WeStreet Street 81,,
Ghim Moh Road ,,
Anchorvale Drive ,,
Dunman Road ,,
Fernwood Terminal ,,
"Lorong J, K Telok Kurau",,
Ghim Moh Lk ,,
Duku Road ,,
Hougang Street 22,34361.201731065295,37562.2059394121
Flanders Sq ,,
Boon Lay Avenue ,,
Jurong WeStreet Street 73,,
Rosewood Drive ,22704.420691878506,45602.392699485594
Nallur Road,,
Aljunied Avenue 2 ,,
Jalan Besar ,,
Lorong M Telok Kurau ,,
Eng Kong Pl,20707.7893624697,35234.3840271775
Bowmont Gardens ,37715.0864681015,32754.7417829167
Jurong WeStreet Street 25 ,,
Streetrathmore Avenue ,,
Buangkok View,33846.2438069042,40255.9110828582
Harvey Avenue ,41564.696307621,35513.3021048047
Yishun Street 71 ,,
Pasir Ris Street 21,42328.7808345603,38775.8109468687
Jalan Baiduri,,
Jalan Batai ,,
Jalan Selamat ,,
Chai Chee Road ,,
Jalan Anggerek ,33441.4641583953,34865.269386027
Balam Road ,34019.849126724504,34847.642644099906
CheStreetnut Drive ,,
Street George's Lane ,,
How Sun Cl ,,
Yishun Ring Road ,,
Lorong Biawak,32085.4054886214,36610.762078708
Kaki Bkt InduStreetrial Terminal,,
"Lorong 24, 24A, 26, 28, 32 Geylang ",,
Begonia Drive ,31392.6338144513,41056.810104372
Dafne Street ,,
Upp Serangoon Cres ,,
Martaban Road,,
Choa Chu Kang Cres ,,
Ee Teow Leng Road ,,
Jalan Limau Bali ,,
Street Georges Lane,,
Rangoon Road ,30428.2775713569,32758.313011510298
Jalan Hock Chye ,,
Potong Pasir Avenue 1 ,31902.014741540897,35039.283172287
Jurong EaStreet Street 31 ,,
Bendemeer Road ,,
Lorong 8 Toa Payoh,30840.3814665647,35490.0111637451
Lorong 4 Geylang ,,
Lorong H Telok Kurau ,36094.267146332204,33099.212594939396
Farrer Park Road,30091.2292861762,32740.4760281704
Tanjong Rhu Road ,,
Kismis Avenue,21048.9415624905,35228.063769497
"Holland Hill, Road",,
Everitt Road,35595.2988293925,33197.3394912686
Redhill Lane ,,
Kg Ampat ,,
Rivervale Street ,,
Dorset Road ,,
Crane Road ,,
Lentor Loop ,28363.3683296377,40841.7513279878
Lorong L Telok Kurau,37147.8508023787,32761.6604991704
Hougang Avenue 10 ,,
Jalan Hajjah ,,
Tampines Street 23 ,41429.2045237012,37346.9064417537
"Li Hwan Cl, Drive, Terminal, View",,
"Eng Kong Cres,Road ",,
Hougang Avenue 3 ,,
Bedok North Street 2 ,,
AlexanDrivea Road,,
Simei Lane ,,
Bt Batok WeStreet Avenue 2 ,,
Bayshore Road,39880.2693023579,32978.9686407652
Mei Ling Street,24839.1219412563,30652.2058355473
Lorong 14 Geylang ,,
Dunlop Street ,,
GuillemaRoad Road,,
WeStreetwood Cres,,
Kurau Pl ,,
Kovan Road,,
Upp Serangoon View ,,
Aida Street ,38611.8500660378,33237.2974370252
Joo Chiat Terminal ,,
Woodlands Street 81 ,22732.471818200298,47039.4743122756
Holland Road ,25331.3462487431,32248.6140889842
Gray Lane ,,
Frankel Cl,37036.4042679397,33369.173014126696
Ang Mo Kio Avenue 9,,
Bt Batok EaStreet Avenue 4 ,,
Pasir Ris Street 13 ,42322.1049886076,38350.6345819049
Kg Arang Road ,,
CowDriveay Avenue ,,
Bedok North Avenue 4 ,,
Lorong K Telok Kurau,36572.136045305095,32805.7619805578
Ang Mo Kio Avenue 1 ,,
"Parry View,Walk",,
Sgoon North Avenue 1 ,,
"Yunnan Drive 1, Road, Walk 1, Walk 3",,
Yishun Street 21,28520.6138950633,45819.3770039212
Bedok North Street 5,,
Rochor Canal Road ,,
Chu Yen Street,,
Pasir Ris Gr ,,
Wilby Road,,
Ang Mo Kio Avenue 10,30456.0196312964,38119.944450153
Choa Chu Kang Road,,
Flander Sq ,,
Yishun Avenue 11 ,,
Lorong 31 Geylang ,33922.0239719255,32972.9730374776
Bishan Street 12,29678.481923902404,36333.2141721677
Sgn Avenue 1 ,,
Hoy Fatt Road ,25595.6056023929,29989.527408024303
FLorongissa Park,,
Changi South Avenue 1,,
ChiselhurStreet Grove ,,
Chuan Hoe Avenue ,,
Jalan Ikan Merah ,,
Tampines Street 22 ,,
Kaki Bt Ind Terminal,,
